,date,AQI指数,PM2.5,PM10,O3,no2,so2,co,T,Po,U,Ff,VV,RRR,year,month,day
0,2015-05-17,50,105.0,41.0,36.0,10.0,5.47506334945865,8.0,25.6,603.9,38,5.0,24.0,0.0,2015,5,17
1,2015-05-18,35,80.0,40.0,33.0,9.0,5.47506334945865,8.0,25.9,604.8,40,3.0,26.0,0.0,2015,5,18
2,2015-05-19,30,79.0,41.0,45.0,11.0,10.0,9.0,23.8,603.9,53,4.0,24.0,0.0,2015,5,19
3,2015-05-20,51,86.0,27.0,26.0,13.0,6.0,9.0,21.3,605.1,76,2.0,14.0,0.0,2015,5,20
4,2015-05-21,62,86.0,27.0,27.0,9.0,7.0,8.0,19.1,605.7,91,1.0,24.0,4.0,2015,5,21
5,2015-05-22,65,65.0,35.0,43.0,12.0,10.0,8.0,20.5,604.6,86,1.0,22.0,0.2,2015,5,22
6,2015-05-23,63,80.0,39.0,50.0,9.0,9.0,8.0,20.8,604.9,69,3.0,11.0,0.0,2015,5,23
7,2015-05-24,56,89.0,52.0,57.0,10.0,11.0,8.0,24.6,604.1,41,4.0,25.0,0.0,2015,5,24
8,2015-05-25,55,86.0,61.0,54.0,9.0,9.0,8.0,24.8,603.8,41,4.0,22.0,0.0,2015,5,25
9,2015-05-26,69,98.0,56.0,50.0,9.0,8.0,9.0,25.1,604.2,43,5.0,21.0,0.0,2015,5,26
10,2015-05-27,70,95.0,56.0,45.0,9.0,8.0,8.0,24.2,603.8,45,5.0,28.0,0.0,2015,5,27
11,2015-05-28,51,74.0,52.0,57.0,10.0,10.0,8.0,25.0,602.8,42,4.666666666666667,26.0,0.0,2015,5,28
12,2015-05-29,49,89.0,57.0,57.0,11.0,9.0,11.0,25.9,604.4,41,4.0,20.0,0.0,2015,5,29
13,2015-05-30,51,101.0,51.0,45.0,7.0,6.0,7.0,25.2,605.2,63,1.0,19.0,0.0,2015,5,30
14,2015-05-31,65,78.0,44.0,45.0,7.0,6.0,6.0,25.6,603.6,41,2.5,26.0,0.0,2015,5,31
15,2015-06-01,54,69.0,48.0,46.0,9.0,8.0,6.0,25.5,603.6,41,4.0,25.0,0.0,2015,6,1
16,2015-06-02,44,76.0,55.0,33.0,11.0,7.0,7.0,26.9,603.9,38,4.0,24.0,0.0,2015,6,2
17,2015-06-03,47,94.0,50.0,33.0,7.0,8.0,7.0,26.3,605.3,51,2.0,18.0,0.0,2015,6,3
18,2015-06-04,42,91.0,32.0,36.0,13.0,4.0,7.0,24.0,605.6,57,3.0,16.0,0.0,2015,6,4
19,2015-06-05,48,87.0,42.0,35.0,8.0,7.0,7.0,20.5,605.2,88,1.0,14.0,7.0,2015,6,5
20,2015-06-06,43,81.0,38.0,39.0,6.0,10.0,6.0,25.4,603.3,49,3.0,9.0,0.0,2015,6,6
21,2015-06-07,50,62.0,40.0,41.0,11.0,7.0,8.0,25.9,603.6,45,3.0,28.0,0.0,2015,6,7
22,2015-06-08,48,87.0,39.0,41.0,11.0,8.0,7.0,21.9,605.8,62,3.0,14.0,0.0,2015,6,8
23,2015-06-09,51,91.0,39.0,46.0,9.0,9.0,5.0,24.1,604.1,54,4.0,25.0,0.0,2015,6,9
24,2015-06-10,35,71.0,43.0,36.0,14.0,7.0,6.0,24.5,604.4,58,3.0,20.0,0.0,2015,6,10
25,2015-06-11,39,102.0,46.0,32.0,16.0,11.0,7.0,19.0,608.4,85,0.0,8.0,0.0,2015,6,11
26,2015-06-12,33,104.0,24.0,31.0,7.0,10.0,5.0,19.3,605.8,92,0.0,12.0,6.0,2015,6,12
27,2015-06-13,26,51.0,27.0,36.0,8.0,9.0,6.0,22.8,604.8,61,3.0,28.0,0.0,2015,6,13
