date,AQIÖ¸Êý,PM2.5,PM10,O3,no2,so2,co,T,Po,U,Ff,VV,RRR,year,month,day
2015/5/17,50,105,41,36,10,14,8,25.6,603.9,38,5,24,0,2015,5,17
2015/5/18,35,80,40,33,9,12,8,25.9,604.8,40,3,26,0,2015,5,18
2015/5/19,30,79,41,45,11,10,9,23.8,603.9,53,4,24,0,2015,5,19
2015/5/20,51,86,27,26,13,6,9,21.3,605.1,76,2,14,0,2015,5,20
2015/5/21,62,86,27,27,9,7,8,19.1,605.7,91,1,24,4,2015,5,21
2015/5/22,65,65,35,43,12,10,8,20.5,604.6,86,1,22,0.2,2015,5,22
2015/5/23,63,80,39,50,9,9,8,20.8,604.9,69,3,11,0,2015,5,23
2015/5/24,56,89,52,57,10,11,8,24.6,604.1,41,4,25,0,2015,5,24
2015/5/25,55,86,61,54,9,9,8,24.8,603.8,41,4,22,0,2015,5,25
2015/5/26,69,98,56,50,9,8,9,25.1,604.2,43,5,21,0,2015,5,26
2015/5/27,70,95,56,45,9,8,8,24.2,603.8,45,5,28,0,2015,5,27
2015/5/28,51,74,52,57,10,10,8,25,602.8,42,6,26,0,2015,5,28
2015/5/29,49,89,57,57,11,9,11,25.9,604.4,41,4,20,0,2015,5,29
2015/5/30,51,101,51,45,7,6,7,25.2,605.2,63,1,19,0,2015,5,30
2015/5/31,65,78,44,45,7,6,6,25.6,603.6,41,6,26,0,2015,5,31
2015/6/1,54,69,48,46,9,8,6,25.5,603.6,41,4,25,0,2015,6,1
2015/6/2,44,76,55,33,11,7,7,26.9,603.9,38,4,24,0,2015,6,2
2015/6/3,47,94,50,33,7,8,7,26.3,605.3,51,2,18,0,2015,6,3
2015/6/4,42,91,32,36,13,4,7,24,605.6,57,3,16,0,2015,6,4
2015/6/5,48,87,42,35,8,7,7,20.5,605.2,88,1,14,7,2015,6,5
2015/6/6,43,81,38,39,6,10,6,25.4,603.3,49,3,9,0,2015,6,6
2015/6/7,50,62,40,41,11,12,8,25.9,603.6,45,3,28,0,2015,6,7
2015/6/8,48,87,39,41,11,8,7,21.9,605.8,62,3,14,0,2015,6,8
2015/6/9,51,91,39,46,9,12,5,24.1,604.1,54,4,25,0,2015,6,9
2015/6/10,35,71,43,36,14,7,6,24.5,604.4,58,3,20,0,2015,6,10
2015/6/11,39,102,46,32,16,11,7,19,608.4,85,0,8,0,2015,6,11
2015/6/12,33,104,24,31,7,10,5,19.3,605.8,92,0,12,6,2015,6,12
2015/6/13,26,51,27,36,8,9,6,22.8,604.8,61,3,28,0,2015,6,13
2015/6/14,31,54,28,30,8,8,6,23.6,604.9,58,3,29,0,2015,6,14
2015/6/15,39,61,34,23,6,6,5,22.7,605.2,65,3,28,0.2,2015,6,15
2015/6/16,35,51,29,24,6,8,6,22.6,604.5,65,3,30,0,2015,6,16
2015/6/17,36,52,37,31,8,6,7,23.1,603.9,63,2,30,0,2015,6,17
